MECID,CommitteeName,Comm_Type,Comm_Status,Candidate FName,Candidate MName,Candidate LName,ElectionDate,Office Sought
A081000,Johnson County 911 Sales Tax,Campaign,Terminated,,,,,
A081001,Greene Countians Against Question 1,Campaign,Terminated,,,,,
A081002,Committee For Sensible Transit,Campaign,Terminated,,,,,
A081003,Families For County Progress,Campaign,Terminated,,,,,
A081004,Committee for Safer County Buildings,Campaign,Terminated,,,,,
A081005,Putting Kids First,Campaign,Terminated,,,,,
A091000,Citizens For Children,Campaign,Terminated,,,,,
A091001,Committee To Elect Greg Walters,Candidate,Terminated,Greg,,Walters,4/7/2009,Alderperson
A091002,Kasoff For Ferguson,Candidate,Terminated,Nicholas ,D,Kasoff,4/7/2009,Council Person
A091003,Patrick Flora,Candidate,Terminated,Patrick,,Flora,4/7/2009,Mayor
A091004,Kassander For Creve Coeur,Candidate,Terminated,David,,Kassander,4/7/2009,Mayor
A091005,Citizens To Elect Robin Harris,Candidate,Terminated,Robin,L,Harris,4/7/2009,Boardmember
A091005,Citizens To Elect Robin Harris,Candidate,Terminated,Robin,L,Harris,4/7/2015,Boardmember
A091006,Beth Feldman,Candidate,Terminated,Beth,,Feldman,4/7/2009,Boardmember
A091007,Ramsay For School Board,Candidate,Terminated,Darlene,Susan,Ramsay,4/7/2009,Boardmember
A091008,Citizens For Ron Stivison,Candidate,Terminated,Ron,,Stivison,4/6/2010,Council Person
A091008,Citizens For Ron Stivison,Candidate,Terminated,Ron,,Stivison,4/2/2013,Council Person
A091008,Citizens For Ron Stivison,Candidate,Terminated,Ron,,Stivison,4/5/2016,Council Person
A091008,Citizens For Ron Stivison,Candidate,Terminated,Ron,,Stivison,4/2/2019,Council Person
A091009,People For Solon,Candidate,Terminated,Sheila,,Solon,4/6/2010,Council Person
A091010,Friends Of Dale Carter,Candidate,Terminated,Dale,,Carter,4/6/2010,Council Person
A091010,Friends Of Dale Carter,Candidate,Terminated,Dale,,Carter,4/2/2013,Council Person
A091010,Friends Of Dale Carter,Candidate,Terminated,Dale,,Carter,4/5/2016,Council Person
A091010,Friends Of Dale Carter,Candidate,Terminated,Dale,,Carter,4/2/2019,Council Person
A091011,Friends Of Melissa Wagner,Candidate,Terminated,Melissa,,Wagner,4/7/2009,Alderperson
A091011,Friends Of Melissa Wagner,Candidate,Terminated,Melissa,,Wagner,4/5/2011,Alderperson
A091012,Committee To Elect Paul Schroeder,Candidate,Terminated,Paul,R,Schroeder,4/7/2009,Boardmember
A091012,Committee To Elect Paul Schroeder,Candidate,Terminated,Paul,R,Schroeder,4/3/2012,Boardmember
A091013,Anna G Ahrens Committee For Alderman,Candidate,Terminated,Anna,G,Ahrens,4/7/2009,Alderperson
A091014,Committee To Elect Linda Cookie Peoples,Candidate,Terminated,Linda,R,Peoples,4/7/2009,Boardmember
A091015,Friends To Elect Matt Segal,Candidate,Terminated,Matt,,Segal,4/7/2009,Council Person
A091016,Citizens To Elect Cheryl Hermann,Candidate,Terminated,Cheryl,,Hermann,4/7/2009,Boardmember
A091017,Gene Schenberg For City Council,Candidate,Terminated,Gene,,Schenberg,4/7/2009,Council Person
A091018,The Milan Team,Candidate,Terminated,Mike,,Milan,4/7/2009,Council Person
A091019,Friends Of Linda Reel,Candidate,Terminated,Linda,S,Reel,4/7/2009,Council Person
A091020,Citizens For Mclaughlin,Candidate,Terminated,Daniel,M,McLaughlin,4/7/2009,Boardmember
A091021,Committee For Continued Excellence In Education,Campaign,Terminated,,,,,
A091022,Citizens To Elect Marlyn Flauter,Candidate,Terminated,Marlyn,,Flauter,4/7/2009,Boardmember
A091023,Citizens To Elect Sherra Kissee For Ward Ii Alderman,Candidate,Terminated,Sherra,,Kissee,4/7/2009,Alderperson
A091024,Friends For Hardy Billington,Candidate,Terminated,Hardy ,W,Billington,4/7/2009,Boardmember
A091025,Citizens Against Briarbrook Bailout,Campaign,Terminated,,,,,
A091026,Committee To Elect Mary Clasby-Agee ,Candidate,Terminated,Mary,,Clasby-Agee,4/7/2009,Boardmember
A091027,Committee To Elect Heidi Colench,Candidate,Terminated,Heidi,,Colench,4/7/2009,Boardmember
A091028,Citizens For Derek Grier,Candidate,Terminated,Derek,,Grier,4/7/2009,Council Person
A091029,Geiger For Liberty,Candidate,Terminated,Kyle ,,Geiger,4/7/2009,Council Person
A091030,Committee To Elect Jeanne Cavender,Candidate,Terminated,Jeanne,,Cavender,4/7/2009,Boardmember
A091031,Friends For Shawn Short,Candidate,Terminated,Shawn,R,Short,4/7/2009,Alderperson
A091031,Friends For Shawn Short,Candidate,Terminated,Shawn,R,Short,4/5/2011,Mayor
A091032,Citizens To Elect Jane Carpenter - Mayor Of Ozark,Candidate,Terminated,Jane,,Capenter,4/7/2009,Mayor
A091033,Committee To Elect James P White Mayor,Candidate,Terminated,James,P,White,4/7/2009,Mayor
A091033,Committee To Elect James P White Mayor,Candidate,Terminated,James,P,White,4/2/2013,Mayor
A091034,Citizens To Re-Elect Donald R Watts,Candidate,Terminated,Donald ,R,Watts,4/7/2009,Mayor
A091035,Citizens For Clayton Schools,Campaign,Terminated,,,,,
A091036,Dime At A Time,Campaign,Terminated,,,,,
A091037,Citizens For Safe-T,Campaign,Terminated,,,,,
A091038,Friends Of John R Russell Iii,Candidate,Terminated,John ,R,Russell III,4/7/2009,Alderperson
A091039,Madison Continuing The Change,Candidate,Terminated,Patricia,A,Madison,4/7/2009,Boardmember
A091040,Committee To Elect Dawnn Mcintyre-Tanksley,Candidate,Terminated,Dawnn,,Mcintyre-Tanksley,4/7/2009,Alderperson
A091041,The Committee To Elect Carlton D Mcgee ,Candidate,Terminated,Carlton,D,Mcgee,4/7/2009,Mayor
A091042,Tim Welby For Alderman,Candidate,Terminated,Tim,,Welby,4/7/2009,Alderperson
A091042,Tim Welby For Alderman,Candidate,Terminated,Tim,,Welby,4/5/2011,Alderperson
A091042,Tim Welby For Alderman,Candidate,Terminated,Tim,,Welby,4/2/2013,Alderperson
A091042,Tim Welby For Alderman,Candidate,Terminated,Tim,,Welby,4/7/2015,Alderperson
A091043,Citizens For Clem Smith,Candidate,Terminated,Clement ,J,Smith,4/7/2009,Council Person
