mecid,committee_name_x,candidate_name,party,office_sought,status,committee_name_y,report,report_year,report_type,previous_receipts,contributions_received,loans_received,misc_receipts,receipts_subtotal,in_kind_contributions,total_receipts_this_election,previous_expenditures,cash_or_check_expenditures,in_kind_expenditures,credit_expenditures,expenditure_subtotal,total_expenditures,previous_contributions,cash_check_contributions,credit_contributions,in_kind_contributions1,contribution_subtotal,total_contributions,loan_disbursements,disbursements_payments,misc_disbursements,total_disbursements,starting_money_on_hand,monetary_receipts,check_disbursements,cash_disbursements,total_monetary_disbursements,ending_money_on_hand,outstanding_indebtedness,loans_recieved,new_expenditures,new_contributions,payments_made_on_loan,debt_forgiven_on_loans,total_indebtendness
C201312,Citizens for Colby Murphy,Colby Murphy,D,State Representative - District 10 - Missouri House of Representatives,A,Citizens for Colby Murphy,October Quarterly Report,2020,Full Disclosure,5605.0,1080.41,0.0,0.0,1080.41,0.0,6685.41,2817.0,1202.14,0.0,0.0,1202.14,4019.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2492.33,1080.41,1202.14,0.0,1202.14,2370.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C180062,Citizens For Falkner,William Falkner III,R,State Representative - District 10 - Missouri House of Representatives,A,Citizens For Falkner,October Quarterly Report,2020,Full Disclosure,3725.0,9621.0,0.0,0.0,9658.7,37.7,13383.7,681.05,274.98,0.0,0.0,274.98,956.03,2000.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,7622.12,9621.0,274.98,0.0,274.98,16968.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C151169,Citizens For Derek Grier,Derek Grier,R,State Representative - District 100 - Missouri House of Representatives,A,Citizens For Derek Grier,October Quarterly Report,2020,Full Disclosure,0.0,25871.0,0.0,0.0,26546.0,675.0,26546.0,61693.73,97.3,0.0,0.0,97.3,61791.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39738.71,25871.0,0.0,97.3,97.3,65512.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C180717,Webb For House Rep,Helena Webb,D,State Representative - District 100 - Missouri House of Representatives,A,Webb For House Rep,October Quarterly Report,2020,Full Disclosure,62669.5,17914.58,0.0,0.0,18456.44,541.86,81125.94,12499.16,40355.45,0.0,0.0,40355.45,52854.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42844.9,17914.58,40355.45,0.0,40355.45,20404.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C161072,Citizens To Elect Bruce Degroot,Bruce Degroot,R,State Representative - District 101 - Missouri House of Representatives,A,Citizens To Elect Bruce Degroot,October Quarterly Report,2020,Full Disclosure,0.0,20596.0,0.0,0.0,20596.0,0.0,20596.0,0.0,4194.7,0.0,0.0,4194.7,4194.7,0.0,7100.0,0.0,0.0,7100.0,7100.0,0.0,0.0,0.0,0.0,17298.1,20596.0,11294.7,0.0,11294.7,26599.4,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0
C180126,Friends Of Ron Hicks,Ron Hicks,R,State Representative - District 102 - Missouri House of Representatives,A,Friends Of Ron Hicks,October Quarterly Report,2020,Full Disclosure,0.0,1550.0,0.0,0.0,1550.0,0.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10115.86,1550.0,0.0,0.0,0.0,11665.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C201089,Tracy Grundy for Missouri,Tracy Grundy,D,State Representative - District 102 - Missouri House of Representatives,A,Tracy Grundy for Missouri,October Quarterly Report,2020,Full Disclosure,5100.35,1948.18,0.0,0.0,1948.18,0.0,7048.53,2380.65,4029.0,0.0,0.0,4029.0,6409.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2719.7,1948.18,4029.0,0.0,4029.0,638.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C131055,Citizens For Wiemann,John Wiemann,R,State Representative - District 103 - Missouri House of Representatives,A,Citizens For Wiemann,October Quarterly Report,2020,Full Disclosure,111922.48,23516.0,0.0,0.0,23516.0,0.0,135438.48,45152.08,5270.46,0.0,0.0,5270.46,50422.54,13862.45,0.0,0.0,0.0,0.0,13862.45,0.0,0.0,454.0,454.0,75811.02,23516.0,5724.46,0.0,5724.46,93602.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C201313,Committee to Elect Lisa Rees,Lisa Rees,D,State Representative - District 103 - Missouri House of Representatives,A,Committee to Elect Lisa Rees,October Quarterly Report,2020,Full Disclosure,1630.0,2665.41,0.0,0.0,2665.41,0.0,4295.41,526.01,1157.34,0.0,0.0,1157.34,1683.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.84,0.0,22.84,526.83,2665.41,1115.85,64.33,1180.18,2012.06,22.84,0.0,0.0,0.0,0.0,0.0,0.0
C161381,Schnelting For Missouri,ADAM SCHNELTING,R,State Representative - District 104 - Missouri House of Representatives,A,Schnelting For Missouri,October Quarterly Report,2020,Full Disclosure,28903.03,5296.0,0.0,0.0,5296.0,0.0,34199.03,37183.38,1526.11,0.0,0.0,1526.11,38709.49,7000.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,12396.91,5296.0,1526.11,0.0,1526.11,16166.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
