mecid,committee_name_x,candidate_name,party,office_sought,status,committee_name_y,report,report_year,report_type,previous_receipts,contributions_received,loans_received,misc_receipts,receipts_subtotal,in_kind_contributions,total_receipts_this_election,previous_expenditures,cash_or_check_expenditures,in_kind_expenditures,credit_expenditures,expenditure_subtotal,total_expenditures,previous_contributions,cash_check_contributions,credit_contributions,in_kind_contributions1,contribution_subtotal,total_contributions,loan_disbursements,disbursements_payments,misc_disbursements,total_disbursements,starting_money_on_hand,monetary_receipts,check_disbursements,cash_disbursements,total_monetary_disbursements,ending_money_on_hand,outstanding_indebtedness,loans_recieved,new_expenditures,new_contributions,payments_made_on_loan,debt_forgiven_on_loans,total_indebtendness
C191065,David Lenihan for Senate.com,David Lenihan,R,State Senator - District 1 - Missouri State Senate,A,David Lenihan for Senate.com,October Quarterly Report,2020,Full Disclosure,0,21969,0,0,23003.65,1034.65,23003.65,0,24090.19,0,33763.09,57853.28,57853.28,0,0,0,0,0,0,2655.82,521.9,0,3177.72,56195.45,21969,27267.91,0,27267.91,50896.54,53159.86,0,33763.09,0,2655.82,0,83745.23
C121330,Rizzo For Missouri,John Rizzo,D,State Senator - District 11 - Missouri State Senate,A,Rizzo For Missouri,October Quarterly Report,2020,Full Disclosure,268756.75,48859.9,0,0,48859.9,0,317616.65,75224.49,3835.22,0,0,3835.22,79059.71,0,0,0,0,0,0,0,0,0,0,202470.71,48859.9,3835.22,0,3835.22,247495.39,0,0,0,0,0,0,0
C201257E,Jeff Coleman,Jeff Coleman,L,State Senator - District 13 - Missouri State Senate,A,Jeff Coleman,October Quarterly Report,2020,Limited Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C071030,Friends Of Andrew Koenig,Andrew Koenig,R,State Senator - District 15 - Missouri State Senate,A,Friends Of Andrew Koenig,October Quarterly Report,2020,Full Disclosure,0,97043,0,0,97918.52,875.52,97918.52,0,288417.11,0,0,288417.11,288417.11,0,0,0,0,0,0,0,4000,0,4000,220132.86,97043,292417.11,0,292417.11,24758.75,4000,0,0,0,0,0,0
C131092,Lavender For State Senate,Deb Lavender,D,State Senator - District 15 - Missouri State Senate,A,Lavender For State Senate,October Quarterly Report,2020,Full Disclosure,662755.27,268335.62,0,0,269574.36,1238.74,932329.63,194945.22,166977.28,0,0,166977.28,361922.5,2750,0,0,0,0,2750,0,0,0,0,521604.23,268335.62,166977.28,0,166977.28,622962.57,0,0,0,0,0,0,0
C131138,Committee To Elect Lauren Arthur,Lauren Arthur,D,State Senator - District 17 - Missouri State Senate,A,Committee To Elect Lauren Arthur,October Quarterly Report,2020,Full Disclosure,0,61996.76,0,0,61996.76,0,61996.76,0,34999.94,0,292.57,35292.51,35292.51,0,0,0,0,0,0,0,0,0,0,403018.2,61996.76,34999.94,0,34999.94,430015.02,10585.13,0,292.57,0,0,0,10877.7
C201276,MO4Mickey Younghanz,Michael Younghanz,R,State Senator - District 17 - Missouri State Senate,A,MO4Mickey Younghanz,October Quarterly Report,2020,Full Disclosure,0,8159,0,0.34,11873.6,3714.26,11873.6,0,2868.55,0,0,2868.55,2868.55,0,0,0,0,0,0,0,0,0,0,0,8159.34,2868.55,0,2868.55,5290.79,0,0,0,0,0,0,0
C111215,Friends Of Caleb Rowden,CALEB ROWDEN,R,State Senator - District 19 - Missouri State Senate,A,Friends Of Caleb Rowden,October Quarterly Report,2020,Full Disclosure,657549.82,176376,0,0,176376,0,833925.82,321992.97,116739.74,0,0,116739.74,438732.71,19167.2,0,0,0,0,19167.2,0,0,0,0,338365.53,176376,116739.74,0,116739.74,398001.79,0,0,0,0,0,0,0
C201434,Citizens for Coyne,James Coyne,W,State Senator - District 19 - Missouri State Senate,A,Citizens for Coyne,October Quarterly Report,2020,Full Disclosure,0,328.4,0,0,328.4,0,328.4,0,231.4,0,0,231.4,231.4,0,0,0,0,0,0,0,0,0,0,0,328.4,231.4,0,231.4,97,0,0,0,0,0,0,0
C171117,Baker For Missouri,Judy Baker,D,State Senator - District 19 - Missouri State Senate,A,Baker For Missouri,October Quarterly Report,2020,Full Disclosure,277576.48,98620.18,0,0,98620.18,0,376196.66,66062.56,143186.95,0,3116.51,146303.46,212366.02,1026.49,0,0,0,0,1026.49,0,3240,0,3240,216709.84,98620.18,146426.95,0,146426.95,168903.07,3240,0,3116.51,0,0,0,3116.51
