,purpose,amount
4552,media buy,19812048.66
417,advertising - media placement,14540244.74
402,advertising,6448780.339999998
4556,media buys,5093093.72
2333,direct mail,2334806.8499999996
4551,media advertising,2285096.4
1488,campaign worker,1857596.2999999975
4564,media placement advertising,1689096.35
2249,digital advertising,1540166.8
4566,media production,1467046.7300000002
6879,signature collection & mgmt fee,1402464.48
7700,tv ads,1149765.5
5709,printing,1125674.42
4279,mail,1036887.6400000001
6581,research,1027394.75
5897,production and digital media buy,991389.0
5456,polling,985763.2
1939,consulting,936552.35
5204,payroll,813294.3599999998
4569,media purchase,786604.0
6884,signature gathering ,758431.8600000001
3344,fundraising,752443.24
409,advertising - direct mail,750640.0
2426,donation,702422.14
2242,digital ads,672174.3299999998
3803,independent expenditures - direct mail,636605.3099999998
6671,salary,631835.5399999993
6887,signs,629636.2799999998
4563,media placement,628350.2
538,allocation transfer,600722.96
5868,printing/postage,546476.27
4357,mailing,534197.1699999999
7705,tv advertising,534171.0
7710,tv cable and streaming,530798.26
7319,survey,527285.0
1228,campaign management,506184.93
2277,digital media,456746.84
5871,printing/postage/photo,450527.54
1986,contribution,449239.85000000003
4315,mailer,435361.3299999997
4426,marketing ads,427040.63999999996
4341,mailers,408356.0899999999
416,advertising - media buys,394647.65
4422,marketing,391079.2000000002
4977,online advertising,390242.48
7426,taxes,384536.54000000015
5458,polling & surveys,378650.0
403,advertising ,369146.4700000001
7699,tv ad buy,368067.02
3003,fieldwork-mgmt-office rent,359356.0
7464,television and radio ad buy,341574.0
5505,postage,340345.6599999999
8173,yard signs,337486.3199999999
5069,pac merger,326637.2
7322,surveys - internal use only,325500.0
2347,direct mail piece,324096.24000000005
7457,television ad buy,315275.0
3804,independent expenditures - radio & tv ads,307712.0
6084,radio ads,295233.9799999999
4052,legal fees,293473.43
4542,media,280825.80000000005
4558,media consulting,275165.0
2991,"field distribution of lit. & phone banks, & mail",274955.15
7709,tv buy,271854.0
7462,television ads,269620.0
2271,digital fundraising,265019.48
4058,legal services,262954.69999999995
2365,direct mail/postage,262753.12
1374,campaign signs,262072.86000000025
4557,media buys/production,249736.36
537,allocable transfer,236500.0
3403,fundraising services,222795.95
5227,payroll taxes,205367.30000000005
3603,grassroots outreach,199134.5
2244,digital ads to support yinka faleti,198750.0
4561,media expense,198595.63
220,accounting fees,186007.16999999998
351,ads,181335.21999999997
2282,digital media buy,175310.0
3802,independent expenditures - digital advertising,167500.0
6098,radio advertising,166210.00999999998
7241,strategic consulting,162100.0
6883,signature gathering,155000.0
6353,reimbursed - travel exp - lyft,150000.0
899,broadcast buys,141247.75
2005,contribution processing fees,140793.45
7814,video production,140722.95
4555,media buying,139014.0
1215,campaign mail creation and distribution,138613.35
1117,campaign employee,133337.86
1260,campaign materials,132873.71
3805,independent expenditures - tv & radio ads,131856.0
6880,signature collection fees,131459.0
7242,strategic planning,131400.0
2352,direct mail production and postage,130749.95000000001
1404,campaign staffing,129051.33000000002
6493,rent,127642.56
5764,printing and postage,122217.56
6092,radio ads to support yinka faleti,118650.0
3033,finance director,116320.0
4302,mail program,112450.0
5291,phone services,110796.3
