index,comm_type,committee_name,amount
2019,Political Action,Uniting Missouri PAC,18527737.37
1904,Political Action,Republican Governors Association - Missouri 2020,14850207.280000001
1396,Political Action,A Stronger Missouri,13771222.55
1504,Political Action,Democratic Governors Association - Missouri,9022789.55
32,Campaign,Missourians for Healthcare,8661555.100000001
1449,Political Action,CLEAN Missouri,7346869.039999999
1154,Candidate,Nicole Galloway For Missouri,4798754.360000007
1168,Candidate,Parson For Missouri,3886013.439999999
1633,Political Action,Keep Government Accountable,2743373.1399999997
1792,Political Action,Missouri Forward PAC,2305094.0300000003
