MECID,Committee Name,Report,Report Year,Report Type,Previous Receipts,Contributions Received,Loans Received, Misc. Receipts, Receipts Subtotal,In-Kind Contributions, Total Receipts This Election,Previous Expenditures,Cash or Check Expenditures,In-Kind Expenditures,Credit Expenditures,Expenditure Subtotal,Total Expenditures,Previous Contributions,Cash/Check Contributions,Credit Contributions,In-Kind Contributions,Contribution Subtotal,Total Contributions,Loan Disbursements,Disbursements Payments,Misc. Disbursements,Total Disbursements,Starting Money on Hand, Monetary Receipts,Check Disbursements,Cash Disbursements,Total Monetary Disbursements,Ending Money on Hand,Outstanding Indebtedness,Loans Recieved,New Expenditures,New Contributions,Payments Made on Loan,Debt Forgiven on Loans,Total Indebtendness
"C000808","CREVE COEUR TOWNSHIP DEMOCRATIC CLUB","AMENDED April Quarterly Report","2011","Full Disclosure","970.0000","970.0000","0.0000","0.0000","970.0000","0.0000","1940.0000","181.0000","231.0000","0.0000","0.0000","231.0000","412.0000","181.0000","100.0000","0.0000","0.0000","100.0000","281.0000","0.0000","0.0000","0.0000","0.0000","3757.5400","970.0000","331.0000","0.0000","331.0000","4396.5400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"A101424","GUS ELLIOTT FOR US","AMENDED July Quarterly Report","2011","Full Disclosure","0.2800","0.0000","0.0000","0.2800","0.2800","0.0000","0.5600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.8900","0.2800","0.0000","0.0000","0.0000","2.1700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000687","MO SOCIETY OF PROFESSIONAL SURVEYORS PAC","AMENDED October Quarterly Report","2011","Full Disclosure","0.0000","127.0000","0.0000","0.0000","254.0000","127.0000","254.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1800.0000","0.0000","0.0000","1800.0000","1800.0000","0.0000","0.0000","0.0000","0.0000","4034.0200","127.0000","1800.0000","0.0000","1800.0000","2361.0200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C111126","MISSOURIANS FOR RESPONSIBLE LENDING","AMENDED July Quarterly Report","2011","Full Disclosure","5136.0000","0.0000","0.0000","0.3100","0.3100","0.0000","5136.3100","20.1000","0.0000","0.0000","0.0000","0.0000","20.1000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5115.9000","0.3100","0.0000","0.0000","0.0000","5116.2100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C091019","SLY JAMES FOR MAYOR","AMENDED October Quarterly Report","2011","Full Disclosure","174187.0000","3450.0000","0.0000","0.0000","3450.0000","0.0000","177637.0000","57509.2800","4704.6700","0.0000","0.0000","4704.6700","62213.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","116680.7200","3450.0000","4704.6700","0.0000","4704.6700","115426.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"c101326","CONSTITUTION PARTY OF PULASKI COUNTY, MO","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"c000348","CITIZENS FOR JUSTICE + TRUTH","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C081010","KCFT & SRP STATE & LOCAL COPE","January Quarterly Report","2011","Full Disclosure","37114.2300","3268.6500","0.0000","0.0000","3268.6500","0.0000","40382.8800","1830.5200","6992.9800","0.0000","0.0000","6992.9800","8823.5000","13259.5000","4350.0000","0.0000","0.0000","4350.0000","17609.5000","0.0000","0.0000","0.0000","0.0000","28358.1400","3268.6500","11342.9800","0.0000","11342.9800","20283.8100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C091107","HICKORY COUNTY REPUBLICAN COMMITTEE","January Quarterly Report","2011","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","806.2500","0.0000","0.0000","806.2500","806.2500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","11.0800","11.0800","1933.6000","0.0000","806.2500","0.0000","817.3300","1116.2700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C101334","FRIENDS OF WAYNE WALLINGFORD","January Quarterly Report","2011","Full Disclosure","0.0000","900.0000","0.0000","0.0000","900.0000","0.0000","900.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3541.5700","900.0000","0.0000","0.0000","0.0000","4441.5700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
