MECID,Committee Name,Report,Report Year,Report Type,Previous Receipts,Contributions Received,Loans Received, Misc. Receipts, Receipts Subtotal,In-Kind Contributions, Total Receipts This Election,Previous Expenditures,Cash or Check Expenditures,In-Kind Expenditures,Credit Expenditures,Expenditure Subtotal,Total Expenditures,Previous Contributions,Cash/Check Contributions,Credit Contributions,In-Kind Contributions,Contribution Subtotal,Total Contributions,Loan Disbursements,Disbursements Payments,Misc. Disbursements,Total Disbursements,Starting Money on Hand, Monetary Receipts,Check Disbursements,Cash Disbursements,Total Monetary Disbursements,Ending Money on Hand,Outstanding Indebtedness,Loans Recieved,New Expenditures,New Contributions,Payments Made on Loan,Debt Forgiven on Loans,Total Indebtendness
"A151147","COLE COUNTIANS TO PRESERVE FAIR AND IMPARTIAL COURTS","January Quarterly Report","2017","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1200.0000","0.0000","0.0000","0.0000","0.0000","1200.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1693.8700","1693.8700","1693.8700","0.0000","1693.8700","0.0000","1693.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000857","BLUE CROSS AND BLUE SHIELD OF KANSAS CITY POLITICAL ACTION COMMITTEE FOR MISSOURI","January Quarterly Report","2017","Full Disclosure","20000.0000","80000.0000","0.0000","0.0000","80000.0000","0.0000","100000.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","146950.0000","26750.0000","0.0000","0.0000","26750.0000","173700.0000","0.0000","0.0000","0.0000","0.0000","28443.3300","80000.0000","26750.0000","0.0000","26750.0000","81693.3300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C131079","FRIENDS FOR MIKE ELAM","January Quarterly Report","2017","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1311.2600","805.8300","0.0000","0.0000","805.8300","2117.0900","1195.0000","0.0000","0.0000","0.0000","0.0000","1195.0000","0.0000","0.0000","0.0000","0.0000","4841.7900","0.0000","805.8300","0.0000","805.8300","4035.9600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000387","ST CHARLES COUNTY REPUBLICAN CENTRAL COMMITTEE","January Quarterly Report","2017","Full Disclosure","72709.0400","6206.0000","0.0000","981.2600","7187.2600","0.0000","79896.3000","64183.3600","1135.4300","0.0000","0.0000","1135.4300","65318.7900","5250.0000","0.0000","0.0000","0.0000","0.0000","5250.0000","0.0000","0.0000","0.0000","0.0000","21307.9700","7187.2600","1135.4300","0.0000","1135.4300","27359.8000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000576","REPUBLICAN WOMEN`S CLUB OF UNION","AMENDED January Quarterly Report","2017","Full Disclosure","0.0000","133.0000","0.0000","0.0000","133.0000","0.0000","133.0000","0.0000","55.0000","0.0000","0.0000","55.0000","55.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","726.5200","133.0000","55.0000","0.0000","55.0000","804.5200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C161414","CITIZENS FOR POSITIVE CHANGE","January Quarterly Report","2017","Full Disclosure","0.0000","60.0000","0.0000","0.0000","60.0000","0.0000","60.0000","0.0000","37.3200","0.0000","0.0000","37.3200","37.3200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","60.0000","37.3200","0.0000","37.3200","22.6800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000808","CREVE COEUR TOWNSHIP DEMOCRATIC CLUB","January Quarterly Report","2017","Full Disclosure","95.8600","0.0000","0.0000","0.0000","0.0000","0.0000","95.8600","256.8500","90.0000","0.0000","0.0000","90.0000","346.8500","1900.0000","0.0000","0.0000","0.0000","0.0000","1900.0000","0.0000","0.0000","0.0000","0.0000","2183.1700","0.0000","90.0000","0.0000","90.0000","2093.1700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000531","SIERRA CLUB MISSOURI CHAPTER PAC","January Quarterly Report","2017","Full Disclosure","5518.0800","0.0000","0.0000","0.0000","0.0000","0.0000","5518.0800","6806.6500","0.0000","0.0000","0.0000","0.0000","6806.6500","1800.0000","0.0000","0.0000","0.0000","0.0000","1800.0000","0.0000","0.0000","1554.4900","1554.4900","1554.4900","0.0000","1554.4900","0.0000","1554.4900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C001037","BARRY COUNTY REPUBLICAN COMMITTEE","January Quarterly Report","2017","Full Disclosure","7302.0000","462.0000","0.0000","0.0000","462.0000","0.0000","7764.0000","12915.8800","0.0000","0.0000","0.0000","0.0000","12915.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","10378.9100","462.0000","0.0000","0.0000","0.0000","10840.9100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C141069","TUNNELL FOR JUDGE","January Quarterly Report","2017","Full Disclosure","191.8100","0.0000","0.0000","0.0000","0.0000","0.0000","191.8100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","718.2200","0.0000","0.0000","0.0000","0.0000","718.2200","24100.0000","0.0000","0.0000","0.0000","0.0000","0.0000","24100.0000"
